,en
"Intro.json_1","The Kingdom of Avior has been at peace for the last few centuries. Political stability felt almost taken for granted not only by citizens but even by royalty. "
"Intro.json_2","Military successes of the previous king, Mizar, provided his family with a big and strong country, which rightfully ruled to this day."
"Intro.json_3","His son and successor, Alcor, reinforced his father's achievements and continued his rulership."
"Intro.json_4","As it happens in a monarchy, his first son, Norbert, prepared to take his place, given his father’s old age."
"Intro.json_5","However, in his twenties, the second prince Arron is nothing but trouble to his family..."
"Intro.json_6","First prince's bedroom"
"Intro.json_7","My Lady, it's a great honor for me to be invited into your bedroom."
"Intro.json_8","Huhu, enough Arron, just come inside already. "
"Intro.json_9","(Jeez, what is master even thinking to go at it again...) "
"Intro.json_10","(Oh, they went in. I better take my position. Sigh...) "
"Intro.json_11","I've been dreaming of this day since our last meeting, and my heart skipped once I'd noticed your beautiful lustful eyes on me this morning..."
"Intro.json_12","You and your flattering again... Gosh, why are you already naked?"
"Intro.json_13","And why aren't you? "
"Intro.json_14","Oh my..."
"Intro.json_15","Few moments later"
"Intro.json_16","(Someone is coming... )"
"Intro.json_17","(It's Prince Norbert!)"
"Intro.json_18","*Knock Knock Knock*"
"Intro.json_19","Arron recognized the signal, his servant, Rose, was instructed to give. "
"Intro.json_20","(Uh-oh... This is bad.)"
"Intro.json_21","My sincerest apologies, my lady."
"Intro.json_22","... Huh?"
"Intro.json_23","The balcony door is stuck? "
"Intro.json_24","Oh, it completely slipped my mind."
"Intro.json_25","Norbert had jammed the door after last time."
"Intro.json_26","......... Shit."
"Intro.json_27","Norbert and a few guards barge into the room. As he sees his naked wife, rage quickly engulfs his face."
"Intro.json_28","Where is he?! "
"Intro.json_29","Dear, what are you doing? I had been taking a nap so nicely. Why have you brought these people into our love nest?"
"Intro.json_30","Check all cabinets, and look under the bed!"
"Intro.json_31","There's nothing under the bed, m'lord. "
"Intro.json_32","Cabinets are empty as well."
"Intro.json_33","Balcony is not opening."
"Intro.json_34","No way! He couldn't have gotten away again, keep looking."
"Intro.json_35","Hmph, if only you were this zealous at nights as you are right now. "
"Intro.json_36","*chuckle*"
"Intro.json_37","What the... "
"Intro.json_38","Behind the door!"
"Intro.json_39","There's nobody here!"
"Intro.json_40","ARRON!!"
"Intro.json_41","..."
"Intro.json_42","I know how it looks, but it wasn't me."
"Intro.json_43","Ouch, stop dragging me, I can walk on my own!"
"Intro.json_44","(Uh-oh.. this didn't go well. I better follow them...)"
"Intro.json_45","Arron, with his hands tied behind his back sits on the floor of a large cell. Norbert observes him, while his subordinates prepare for a ritual."
"Intro.json_46","Rose hides among the shadows of a far corner, unnoticed."
"Intro.json_47","You know, it was funny when you convinced the Pope that Aunt Mary had been possessed by the devil so he brought a whole ceremony for them. "
"Intro.json_48","Everyone knows old people are evil. That's why they still are with us and not with God."
"Intro.json_49","...it also was rather amusing when you brought a bunch of homeless people during negotiations with Reines and insisted that you will become their king in a new nation in our dinning hall. "
"Intro.json_50","Bob could also replace me as a King. "
